S-w,1.778521120560789e-07
S-v,5.92840373520263e-07
S-t,2.964201867601315e-07
S-s,4.742722988162104e-07
S-r,5.92840373520263e-08
S-p,5.92840373520263e-07
S-o,1.185680747040526e-07
S-m,1.185680747040526e-07
S-l,3.557042241121578e-07
S-k,5.92840373520263e-08
S-i,5.92840373520263e-08
S-h,1.185680747040526e-07
S-g,1.185680747040526e-07
S-f,5.92840373520263e-08
S-e,2.964201867601315e-07
S-d,5.92840373520263e-08
S-c,7.114084482243156e-07
S-b,2.371361494081052e-07
S-a,5.92840373520263e-08
S-P,5.92840373520263e-08
S-O,1.185680747040526e-07
S-H,3.557042241121578e-07
S-C,5.92840373520263e-08
27 ,4.624154913458052e-06
oeg,0.0002850969356258945
27%,2.964201867601315e-07
27),1.185680747040526e-07
"27,",2.964201867601315e-07
27-,1.778521120560789e-07
27.,4.149882614641841e-07
270,5.335563361682367e-07
271,1.185680747040526e-07
275,1.778521120560789e-07
276,5.92840373520263e-08
A58,5.92840373520263e-08
 y-,2.371361494081052e-07
 y ,4.149882614641841e-07
"27
",5.92840373520263e-08
iMi,5.92840373520263e-08
cLe,2.371361494081052e-07
27e,1.185680747040526e-07
"¬
o",5.92840373520263e-08
27s,1.185680747040526e-07
 yi,1.778521120560789e-07
 yl,1.185680747040526e-07
 yo,2.786349755545236e-06
 ya,4.742722988162104e-07
 ye,1.0671126723364734e-06
"
Kh",2.964201867601315e-07
 yu,8.299765229283682e-07
"RL,",5.92840373520263e-08
"a;
",5.335563361682367e-07
RL',5.92840373520263e-08
"a,""",1.778521120560789e-07
RL ,5.92840373520263e-08
"a, ",0.0001169674056955479
rlu,1.2449647843925524e-06
"a,<",5.92840373520263e-08
RL:,1.185680747040526e-07
dne,4.2684506893458936e-06
"a,
",6.871019929099848e-05
dno,4.149882614641841e-07
dni,2.1342253446729468e-06
dnu,5.92840373520263e-08
"a,o",5.92840373520263e-08
"a,e",5.92840373520263e-08
"C
E",5.92840373520263e-08
RLs,1.185680747040526e-07
dn ,5.92840373520263e-08
"dn,",5.92840373520263e-08
H-w,1.185680747040526e-07
"%
(",5.92840373520263e-08
.tu,5.92840373520263e-08
.te,1.185680747040526e-07
"""T ",5.92840373520263e-08
"""T-",5.92840373520263e-08
"""T.",5.92840373520263e-08
Mab,5.92840373520263e-08
"%
n",1.778521120560789e-07
"%
o",5.92840373520263e-08
"%
h",5.92840373520263e-08
"%
i",3.557042241121578e-07
"%
d",1.185680747040526e-07
"%
e",1.185680747040526e-07
"%
g",5.92840373520263e-08
"%
b",5.92840373520263e-08
"""TE",1.185680747040526e-07
.t.,1.185680747040526e-07
"%
t",5.92840373520263e-08
"%
u",5.92840373520263e-08
"%
v",1.3042488217445787e-06
"%
w",5.92840373520263e-08
"%
r",5.92840373520263e-08
"""Tu",1.185680747040526e-07
CFO,1.778521120560789e-07
CFL,1.778521120560789e-07
"""Tr",3.557042241121578e-07
"""Ty",5.92840373520263e-08
"""Te",1.7192370832087629e-06
OWE,1.185680747040526e-07
"""Ta",4.149882614641841e-07
œKi,2.371361494081052e-07
"""To",1.7192370832087629e-06
"""Ti",8.892605602803946e-07
"""Th",5.157711249626288e-06
"""Tj",7.114084482243156e-07
623,1.185680747040526e-07
Eul,3.557042241121578e-07
621,5.92840373520263e-08
zam,6.710953028249378e-05
'ev,1.185680747040526e-07
Hip,8.299765229283682e-07
fis,2.1579389596137575e-05
Hir,1.7192370832087629e-06
His,1.4228168964486313e-06
Hit,1.60066900850471e-06
625,1.185680747040526e-07
Hiv,2.371361494081052e-07
uot,1.4228168964486313e-06
fiz,2.964201867601315e-07
uoz,4.742722988162104e-07
fix,1.363532859096605e-06
fib,1.7785211205607891e-06
fic,5.9402605426730354e-05
fia,8.892605602803946e-07
Hid,2.964201867601315e-07
Hie,0.00012182869675841405
fid,2.2527934193769993e-06
fie,8.85703518039273e-05
fij,1.7666643130903838e-05
fik,1.778521120560789e-07
uoi,2.312077456729026e-06
Hik,2.371361494081052e-07
fin,6.260394344373978e-05
fio,5.92840373520263e-08
fil,9.841150200436366e-05
uol,7.114084482243156e-07
'ex,3.557042241121578e-07
‹sp,5.92840373520263e-08
62?,5.92840373520263e-08
zac,1.0552558648660682e-05
Mai,3.4977582037695518e-06
"fi
",2.964201867601315e-07
"uo
",1.185680747040526e-07
‹so,5.92840373520263e-08
"r
c",1.0671126723364734e-06
Ill,9.485445976324208e-07
Lam,2.964201867601315e-06
fi:,5.92840373520263e-08
fi;,5.92840373520263e-08
Hi ,5.92840373520263e-08
Hi!,5.92840373520263e-08
fi ,1.4821009338006575e-06
uo ,1.0078286349844471e-06
uo',5.92840373520263e-08
fi',1.185680747040526e-07
gkl,8.299765229283682e-07
fi.,4.149882614641841e-07
uo.,1.778521120560789e-07
"fi,",2.371361494081052e-07
fi-,5.335563361682367e-07
syc,3.319906091713473e-05
39 ,1.4228168964486313e-06
39%,5.92840373520263e-08
39),5.92840373520263e-08
39.,1.778521120560789e-07
39-,1.185680747040526e-07
"39,",1.185680747040526e-07
fiÃ,8.892605602803946e-07
391,5.92840373520263e-08
390,1.778521120560789e-07
39:,5.92840373520263e-08
syf,4.149882614641841e-07
’ d,5.92840373520263e-08
’ g,5.92840373520263e-08
"39
",5.92840373520263e-08
B32,5.92840373520263e-08
'en,1.8970891952648417e-06
zap,3.557042241121578e-07
syj,5.92840373520263e-08
’ z,5.92840373520263e-08
Egy,9.248309826916103e-06
OW ,5.92840373520263e-08
39s,5.92840373520263e-08
Ego,2.371361494081052e-07
sym,3.462187781358336e-05
Egl,2.964201867601315e-07
Ega,5.92840373520263e-08
syl,2.312077456729026e-06
Egg,1.185680747040526e-07
dgr,1.4821009338006575e-06
",al",5.92840373520263e-08
kfu,4.742722988162104e-07
kfr,1.185680747040526e-07
Mao,9.485445976324208e-07
kfe,1.185680747040526e-07
kfa,3.557042241121578e-07
kfo,9.485445976324208e-07
kfl,3.557042241121578e-07
kfi,7.706924855763419e-07
CK:,1.778521120560789e-07
nz ,1.0078286349844471e-06
nz.,5.631983548442499e-06
"nz,",3.557042241121578e-07
"3D,",5.335563361682367e-07
3D-,4.861291062866157e-06
nzw,1.7785211205607891e-06
nzu,8.892605602803946e-07
nzy,2.786349755545236e-06
nza,1.553241778623089e-05
nze,0.00044783161815720667
nzi,6.088470636053101e-05
nzh,3.557042241121578e-07
nzo,2.679638488311589e-05
vga,5.92840373520263e-08
nzÃ,5.92840373520263e-08
za ,4.0313145399377885e-06
U-2,1.778521120560789e-07
dta,3.20133801700942e-06
"j
H",1.185680747040526e-07
U--,5.92840373520263e-08
irÃ,1.185680747040526e-07
irâ,5.92840373520263e-08
U-v,5.92840373520263e-08
U-p,5.92840373520263e-08
U-r,1.185680747040526e-07
RiS,1.778521120560789e-07
U-e,5.92840373520263e-08
U-a,1.185680747040526e-07
U-b,5.92840373520263e-08
"za
",4.149882614641841e-07
Riz,1.185680747040526e-07
Riy,5.92840373520263e-08
Riv,2.312077456729026e-06
Rit,1.6599530458567364e-06
Ris,5.92840373520263e-07
Rip,1.778521120560789e-07
Rin,4.149882614641841e-07
Rio,3.2606220543614467e-06
Ril,4.149882614641841e-07
Rim,2.371361494081052e-07
Rij,1.4228168964486313e-06
Rik,1.185680747040526e-07
U-C,1.185680747040526e-07
Rif,1.0078286349844471e-06
Rig,5.92840373520263e-07
Rid,1.185680747040526e-06
Rie,2.964201867601315e-07
Rib,2.371361494081052e-07
Ric,1.3694612628318075e-05
Ria,5.92840373520263e-08
.ik,2.371361494081052e-07
.in,1.185680747040526e-07
irP,1.778521120560789e-07
irS,5.92840373520263e-08
iry,5.92840373520263e-08
irp,1.0078286349844471e-06
irq,1.778521120560789e-07
irr,6.343391996666814e-06
irs,5.45413143638642e-06
irt,1.5591701823582916e-05
iru,4.0787417698194095e-05
irv,7.114084482243156e-07
irw,8.892605602803946e-07
xvi,1.185680747040526e-07
iri,1.4643157225950497e-05
irk,1.4346737039190365e-05
irl,3.0234859049533416e-06
irm,2.0156572699688942e-06
xvo,5.92840373520263e-08
iro,1.0196854424548524e-05
ira,2.993843886277328e-05
irb,1.8970891952648417e-06
irc,1.138253517158905e-05
ird,1.60066900850471e-06
ire,0.00012609714744775996
irf,1.185680747040526e-07
irg,3.912746465233736e-06
rgp,4.149882614641841e-07
.i.,5.92840373520263e-08
"
RF",1.185680747040526e-07
rgr,3.7052523345016436e-05
"ir
",1.8378051579128154e-06
cut,7.469788706355314e-06
"
RC",1.778521120560789e-07
cur,2.993843886277328e-05
œPo,5.92840373520263e-08
ir:,2.371361494081052e-07
ir;,5.92840373520263e-08
+17,5.92840373520263e-08
"
RA",1.185680747040526e-07
ir?,1.185680747040526e-07
ir1,5.92840373520263e-08
œPe,1.185680747040526e-07
cup,9.485445976324208e-07
œPa,1.185680747040526e-07
ir),5.92840373520263e-08
"""qu",5.92840373520263e-08
"ir,",2.72706571819321e-06
ir-,1.4228168964486313e-06
ir.,4.742722988162104e-06
rgy,6.521244108722894e-07
ir ,3.189481209539015e-05
ir!,5.92840373520263e-08
œPu,5.92840373520263e-08
rgz,7.706924855763419e-07
+1-,5.92840373520263e-08
ir',2.371361494081052e-07
cuz,2.371361494081052e-07
TD:,8.892605602803946e-07
fra,3.598541067267997e-05
fre,2.1045833259969338e-05
fri,8.015201849993956e-05
fro,2.4187887239626732e-05
rgb,1.1263967096884997e-06
cud,4.742722988162104e-07
fru,1.1916091507757286e-05
rgd,1.7844495242959916e-05
fry,5.92840373520263e-08
.8 ,1.778521120560789e-07
"
cu",1.363532859096605e-06
rgf,1.185680747040526e-07
"
cr",5.691267585794525e-06
rgg,5.92840373520263e-07
"
cy",4.149882614641841e-07
"
cd",1.185680747040526e-07
"
ce",1.185680747040526e-06
"
ca",1.6599530458567364e-06
"js""",2.371361494081052e-07
rgi,0.00011429962401470671
"
cl",5.92840373520263e-07
/cm,5.92840373520263e-08
"
co",1.9326596176760575e-05
"
ch",3.4977582037695518e-06
"
ci",6.521244108722894e-07
cul,0.00010362849729134198
rgn,2.964201867601315e-07
oâ€,6.106255847258709e-06
EB:,4.742722988162104e-07
3Â°,5.92840373520263e-08
3Â½,1.778521120560789e-07
"¼s""",5.92840373520263e-08
0Â°,1.3042488217445787e-06
0Â²,1.185680747040526e-07
0Â½,5.92840373520263e-08
0Âº,2.371361494081052e-07
Las,1.5413849711526838e-06
0Â’,5.92840373520263e-08
EBI,5.92840373520263e-08
lâ€,1.363532859096605e-06
Qi ,5.92840373520263e-08
kMa,1.185680747040526e-07
t':,1.185680747040526e-07
t'?,4.149882614641841e-07
t' ,7.469788706355314e-06
t'),2.964201867601315e-07
t'.,5.869119697850604e-06
"t',",2.312077456729026e-06
t'-,5.335563361682367e-07
hah,3.6163262784736043e-06
hai,7.291936594299235e-06
hak,2.6322112584299678e-05
hal,0.0001940366542531821
ham,3.6281830859440094e-05
han,0.0003345991068148364
hao,7.529072743707341e-06
haa,0.0004850619936142792
hab,6.7583802581309984e-06
hac,7.469788706355314e-06
had,0.00044326674728110065
hae,7.351220631651262e-06
haf,7.1140844822431565e-06
hag,4.505586838753999e-06
hay,3.557042241121578e-07
haz,1.0078286349844471e-06
hap,0.0003255286490999764
haq,5.92840373520263e-08
har,0.00014595729996068875
has,3.0234859049533416e-06
hat,4.108383788495423e-05
hau,7.529072743707341e-06
hav,2.38914670528666e-05
haw,9.485445976324208e-07
t's,1.363532859096605e-06
"ha
",9.485445976324208e-07
>7 ,5.92840373520263e-08
t'i,5.92840373520263e-08
"ha,",3.6163262784736043e-06
ha-,2.964201867601315e-07
ha.,2.1935093820249733e-06
ha ,9.30759386426813e-06
ha!,8.299765229283682e-07
"ha""",2.371361494081052e-07
ha',1.185680747040526e-06
ha:,6.521244108722894e-07
t'A,5.92840373520263e-08
ha0,1.185680747040526e-07
jm.,1.2449647843925524e-06
t'I,2.371361494081052e-07
t'N,5.92840373520263e-08
haÃ,3.557042241121578e-07
"D?
",3.557042241121578e-07
Gs ,5.92840373520263e-08
rg ,0.0001764885791969823
haâ,1.185680747040526e-07
rg',4.149882614641841e-07
dna,7.114084482243156e-07
Gsm,1.185680747040526e-07
œNa,1.185680747040526e-07
34%,5.92840373520263e-08
t'Â,1.185680747040526e-07
™We,5.92840373520263e-08
d ',7.944061005171525e-06
"az
",5.92840373520263e-08
mbo,2.5729272210779414e-05
mbi,3.817892005470494e-05
"g
8",1.185680747040526e-07
mbe,2.3002206492586204e-05
d -,5.045071578657438e-05
"g
5",1.185680747040526e-07
"g
2",4.149882614641841e-07
"g
3",4.149882614641841e-07
"g
0",5.92840373520263e-08
"g
1",4.149882614641841e-07
"g
.",5.92840373520263e-08
d 6,8.299765229283682e-07
d 5,8.892605602803946e-07
d 4,7.706924855763419e-07
d 3,1.2449647843925524e-06
d 2,3.734894353177657e-06
d 1,5.987687772554656e-06
mbt,3.912746465233736e-06
"g
'",2.964201867601315e-07
d =,5.92840373520263e-08
d <,2.964201867601315e-07
"g
""",2.371361494081052e-07
mbr,1.1619671320997154e-05
d 8,5.92840373520263e-07
